id,name,nickname,title,gender,body_type,rarity,element,primordial_force,weapon_type,region,affiliation,profession,species,constellation,special_dish,TAG,description,birthday,cn_CV,img_src
character11,爱可菲,"['甜点大校', '恶魔主厨', 'akf', '薙切绘里奈', '亚丝娜', '高坂桐乃', '爱咖啡', '可爱菲', '冰咖啡(外网梗【ice coffee】)']",明绚千韵,女,少女,5星,冰,荒性,长柄武器,枫丹,枫丹,「技术料理」的领头雁,人类,香糕塔座,德波大蛋糕·绚丽型,"['减抗', '治疗', '烹饪', '暴击伤害提升', '伤害提升', '技能延长', '配队增益']",闻名枫丹的前德波大饭店主厨，有着「甜点大校」荣誉的「技术料理」先驱，对烹饪的要求无比严格。,6月8日,蔡海婷,https://patchwiki.biligame.com/images/ys/3/30/3s25j8fjs5gz5pds0p0rniao44jwdwo.png
character12,伊法,['哥们'],蔚风引灵,男,成男,4星,风,,法器,纳塔,「花羽会」特拉洛坎,特拉洛坎的兽医,人类,佩链座,「情感支持」,"['治疗', '元素转化', '自身抗打断', '聚怪', '能量恢复']",来自花羽会的兽医，由衷热爱着与人、动物，以及其他生灵为伴的生活。,3月23日,吕书君,https://patchwiki.biligame.com/images/ys/1/1b/b6b2hzpvtkbomckg77ocy51lllenz6v.png
character13,瓦雷莎,"['牛牛', '大胃王', '牛战士', '干饭牛，干饭魂!', '牛头人']",悠暇豪劲,女,少女,5星,雷,,法器,纳塔,「沃陆之邦」特特奥坎,「沃陆之邦」中坚战士兼果园主,兽人（牛）,斗士假面座,菇菇山脉（单人份）,"['下落攻击', '快速移动', '自身抗打断', '自身伤害提升', '能量恢复', '自身倍率附加', '自身暴击率提升', '自身暴击伤害提升', '命座普攻提升']",悠悠哉哉，无比松弛的「沃陆之邦」战士兼果园主，喜欢充满力量的英雄，还有巨量美食！,11月15日,乔苏,https://patchwiki.biligame.com/images/ys/2/22/ckqnu7zeftedchrkoanywed6p1317qg.png
character14,伊安珊,"['「乌威佐」的伊安珊', '123', '6星雷神']",熔石百炼,女,幼女,4星,雷,,长柄武器,纳塔,「沃陆之邦」特特奥坎,来自特特奥坎的金牌导师,人类,牨龙座,金牌健康餐,"['加攻', '快速移动', '治疗', '能量恢复', '伤害提升']",沃陆之邦健身俱乐部的总教练，闻名纳塔的营养师。,8月8日,真理,https://patchwiki.biligame.com/images/ys/8/8e/0wagri8hi3y52mf4rlk8l6vwfamr3z7.png
character15,梦见月瑞希,"['瑞幸', '木更', '梗小姐']",绮梦缱绻,女,少女,5星,风,,法器,稻妻,稻妻,秋沙钱汤的心理诊疗师兼大股东,妖怪（食梦貘）,貘枕座,「一梦治愈」,"['快速移动', '聚怪', '治疗', '食物效果提升', '自身元素精通提高', '伤害提升', '能量恢复', '特化反应', '配队增益']",「秋沙钱汤」的股东，梦貘一族的心理诊疗师，致力于驱散噩梦，为人们带来安宁的心境。,3月16日,浮梦若薇,https://patchwiki.biligame.com/images/ys/2/2a/tsbyq40l17iqgzzvcvwb5h8cbavmm8p.png
character16,蓝砚,"['风刻晴', '青雀', '风鹰侠', '艾尔海飍']",翦玉编春,女,少女,4星,风,,法器,璃月,沉玉谷,沉玉谷手工艺工会编藤大师,人类,玄燕座,玉剪着花,"['位移', '护盾', '元素转化', '生物亲和', '自身伤害提升']",沉玉谷来的藤编师，神清骨秀，像山间清泉一般灵动。,1月6日,刘十四,https://patchwiki.biligame.com/images/ys/3/3b/pcyw6voblmjzardu3k2iypp6fvmseb7.png
character17,玛薇卡,"['「基扬戈兹」的玛薇卡', '火神', '战争之神', '大玛']",焚夜以炎,女,成女,5星,火,,双手剑,纳塔,「悬木人」维茨特兰,纳塔的骄阳,人类,不败阳焰座,「簇火赞歌」,"['快速移动', '特殊元素附魔', '自身抗打断', '伤害提升', '自身伤害提升', '减防', '无能量元素爆发']",纳塔的领袖，继承「基扬戈兹」之古名，誓以圣火为战争国度照亮未来。,8月28日,李晔,https://patchwiki.biligame.com/images/ys/4/41/pwvljpmr0uduc3uo2wqzk3fdq2t21d2.png
character18,茜特菈莉,"['「乌昆博库」的茜特菈莉', '（黑曜石）奶奶', '大祭司', '老萨满', '边界大师', '茜菈奶', '火山童姥', '老酸奶', '宅女', '真满（真正的萨满）']",白星黑曜,女,少女,5星,冰,,法器,纳塔,「烟谜主」米克特兰,米克特兰的观星者,人类,石心镜座,「独门秘法」,"['护盾', '减抗', '自身伤害提升', '伤害提升', '精通加成', '自身元素精通提高', '反应受益']",烟谜主的大萨满，令所有族人敬畏的黑曜石奶奶。,1月20日,柳知萧,https://patchwiki.biligame.com/images/ys/c/c3/nnrhtwdu4dnujuaol7ptdlz97vdjele.png
character19,旅行者/火,[],,男/女,,5星,火,,单手剑,,,,,,,"['夜魂', '特殊附魔', '能量恢复', '伤害提升', '自身伤害提升', '自身暴击伤害提升', '协同攻击']",,,,
character20,恰斯卡,['「武卡」的恰斯卡'],巡宇翦定,女,成女,5星,风,,弓,纳塔,「花羽会」特拉洛坎,特拉洛坎的调停人,人类,神鹫座,歇止一刻,"['抗打断', '快速移动', '自身暴击伤害提升', '能量恢复', '元素转化', '配队增益']",特拉洛坎的「调停人」，万千争端的终结者。,12月10日,张若瑜,https://patchwiki.biligame.com/images/ys/f/fd/sib2fn30bj37sdxrvoajhdlz4vgq930.png
character21,欧洛伦,"['「庇笛」的欧洛伦', '大孙子', '哥们2号', '菜满（种菜的萨满）']",深黯的谜烟,男,成男,4星,雷,,弓,纳塔,「烟谜主」米克特兰,米克特兰的烟蝠,兽人（蝙蝠人）,夜蝠座,蜜汁腌鱼,"['能量回复', '嘲讽', '加攻', '自身伤害提升', '能量恢复', '位移']",来自烟谜主的年轻人，却与万千生灵一起，生活在原野之中。,10月14日,梁达伟,https://patchwiki.biligame.com/images/ys/a/a1/1qb1wevxtdykcov8kje4riaqzlcrvrj.png
character22,希诺宁,"['「巴莱卡」的希诺宁', '打火的', '岩大猫', '卢西奥（守望先锋）', '希卡利', '金碟豹']",焮火铸魂,女,成女,5星,岩,,单手剑,纳塔,「回声之子」纳茨卡延,纳茨卡延的铁匠,兽人（豹猫人）,豹猫座,果味奶糖,"['特殊元素附魔', '减抗', '治疗', '抗打断', '加攻', '暴击伤害提升', '能量回复', '冷却缩减', '生命值提升', '下落免疫', '快速移动', '自身倍率附加', '伤害提升', '配队增益']",纳茨卡延的铸名师，善于在工作的重担与舒适的生活之间找到平衡点。,3月13日,弭洋,https://patchwiki.biligame.com/images/ys/a/a3/hwc7l4hbgw3lz7x2nd7yiz6jrwpkqs8.png
character23,基尼奇,"['「马力卜」的基尼奇', '绿斑点蜥蜴']",回火之狩,男,少年,5星,草,,双手剑,纳塔,「悬木人」维茨特兰,维茨特兰的猎龙人,人类,幻瑞兽座,猎龙者的犒赏,"['技能延长', '冷却减少', '自身伤害提升', '快速移动', '移速提升（天赋）', '特产探索', '自身暴击伤害提升', '减抗', '能量恢复', '反应受益']",维茨特兰的猎龙人，精于度量代价。,11月11日,斑马&弭洋,https://patchwiki.biligame.com/images/ys/5/5a/ca43v1uelterlvg9oaxexnf9su6vm13.png
character24,玛拉妮,"['「沃摩延」的玛拉妮', '金牌向导', '纳塔鲨', '麻辣妮', '小玛', '鲨鱼妹', '纳塔小太阳']",哗啦啦逐浪客,女,少女,5星,水,,法器,纳塔,「流泉之众」梅兹特利,梅兹特利的领路人,人类,浪海豹座,好运传递,"['自身抗打断', '自身伤害提升', '快速移动', '特产探索', '能量恢复']",纳塔远近闻名的向导，水上用品商店的经营者，精通各类水上运动的逐浪客。,8月3日,王晓彤,https://patchwiki.biligame.com/images/ys/9/97/h81o20kv0qqche2e8yil9upbc6wfyjj.png
character25,卡齐娜,"['「乌沙博蒂」的卡齐娜', '打桩姬', '徒弟']",斑金矿朴,女,幼女,4星,岩,,长柄武器,纳塔,「回声之子」纳茨卡延,纳茨卡延的年轻勇士,兽人,鼠兔座,齐齐整整,"['岩造物', '自身伤害提升', '快速移动', '特产探索', '能量恢复', '加防']",纳茨卡延的年轻战士，受赐古名「乌沙博蒂」。善良执着的少女，在挫折中不断成长。,4月22日,静宸,https://patchwiki.biligame.com/images/ys/3/34/0f4tklgi7sp39eynan86ibhbj1au892.png
character26,艾梅莉埃,"['调香师', '爱美丽']",千缕之踪,女,少女,5星,草,芒性,长柄武器,枫丹,枫丹廷,知名香水设计师,人类,香氛瓶座,香馥繁味,"['伤害提升', '抗性提升', '减抗', '技能延长', '特殊元素附魔', '自身倍率附加', '战斗增益', '反应受益']",枫丹香水设计师，将秘密藏于瓶中之人。,9月22日,木子橙,https://patchwiki.biligame.com/images/ys/6/6a/a44bcsoongr43dwtsdw8fd9p3fagva5.png
character27,希格雯,"['洗个碗', '花火（声优梗）']",龙女妙变,女,幼女,5星,水,荒性,弓,枫丹,梅洛彼得堡,美露莘护士长,美露莘,海精座,膳食均衡餐,"['治疗', '能量恢复', '生命之契', '源水之滴', '水下探索便利', '减抗', '技能延长', '自身暴击率提升', '自身暴击伤害提升', '倍率附加', '自保护盾']",梅洛彼得堡的美露莘护士长，平等地关爱着海底监牢中的每一名罪人。,3月30日,赵爽,https://patchwiki.biligame.com/images/ys/a/a6/lx72oj4dik2njowvf12ypsm4n83gfs1.png
character28,克洛琳德,"['枫丹雷神', '美玉', '苹果姐']",秉烛狝影,女,成女,5星,雷,荒性,单手剑,枫丹,审判庭,决斗代理人,人类,迅捷剑座,「猎获」,"['特产探索', '自身治疗', '自身暴击率提升', '生命之契', '自身伤害提升', '自身暴击伤害提升', '自身抗打断', '特殊元素附魔', '自身倍率附加', '自身伤害减免']",不败的决斗代理人。以手中的剑维护着枫丹廷的「公义」。,9月20日,赵涵雨,https://patchwiki.biligame.com/images/ys/b/b7/ttjbd1yjyxb8x4vkyufw3mlnozzrf8r.png
character29,赛索斯,"['sss', '沙漠绿眼睛（流浪者称呼）']",衡明知度,男,少年,4星,雷,,弓,须弥,缄默之殿,沙原的使者,人类,圣名环座,烤肉香香香卷,"['特产探索', '能量恢复', '特殊元素附魔', '自身暴击率提升', '精通加成', '自身倍率附加', '命座普攻提升']",缄默之殿的继承者。背负着秘密，自沙中而来。,5月31日,李兰陵,https://patchwiki.biligame.com/images/ys/8/82/le4qmtgk1gjxkaet2hiso7ybiyqqd8m.png
character30,阿蕾奇诺,"['仆人', '父亲', '佩佩', '香菇人', '暗黑优菈', '界优菈', '提瓦特灭霸']",孤暝厄月,女,成女,5星,火,,长柄武器,至冬,愚人众,愚人众十一执行官 第四席,人类,净炼火座,炉火的往迹,"['冷却减少', '自身治疗', '自身抗性提高', '自身伤害提升', '快速移动', '自身暴击率提升', '自身暴击伤害提升', '生命之契', '特殊元素附魔', '战斗增益', '命座普攻提升']",愚人众执行官第四席，「仆人」。沉静冷酷的外交官，「壁炉之家」所有孩子们畏惧又依赖的「父亲」。,8月22日,黄莺,https://patchwiki.biligame.com/images/ys/b/b0/86qckc3u5yltn23qa4q4l31j6gyhkbf.png
character31,千织,"['岩刻晴', '艾尔海磊']",鸣雷的裁锦师,女,少女,5星,岩,,单手剑,稻妻,枫丹廷,「千织屋」老板,人类,丝切铗座,「时装秀」,"['协同攻击', '自身附魔', '自身伤害提升', '移速提升（天赋）', '自身倍率附加', '移速提升', '冷却减少', '位移']",「千织屋」的老板。枫丹著名服装设计师。,8月17日,陈阳,https://patchwiki.biligame.com/images/ys/a/ab/gojwzpjusk9l9e1wyu2kyb6upee7l5m.png
character32,闲云,"['留云借风真君', '留云', '两块禽肉真君', '那个女人', '哪个女人？', '很会聊天真君', '我爱发明真君', '人形态仙鸟', '路过的普通人', '大一点的鸟', '闲鱼', '咸鱼']",鸾音鹤信,女,成女,5星,风,,法器,璃月,奥藏山,璃月港新住户,元素生命（仙人）,闲鹤座,四喜圆满,"['治疗', '下落攻击', '下落免疫', '滑翔移速提升', '暴击率提升', '自身暴击伤害提升', '倍率附加', '跳跃提升', '冷却减少']",绝云仙众「三眼五显仙人」之一，雅号「留云借风真君」。擅使机关奇术，心向红尘烟火，正以「闲云」之名行走人间。,4月11日,秦紫翼,https://patchwiki.biligame.com/images/ys/4/47/lk2tocfr8n73ygnwlbdkt6s6vlqrvou.png
character33,嘉明,"['Gaming（打游戏）', '火刻晴（声优梗）']",骏猊頕首,男,少年,4星,火,,双手剑,璃月,剑匣镖局,剑匣镖局镖师,人类,醒狮座,得闲饮茶,"['下落攻击', '特殊元素附魔', '生命损耗', '自身抗打断', '自身伤害提升', '自身受治疗加成', '移速提升', '移速提升（天赋）', '自我治疗', '自身元素附着']",剑匣镖局的镖师，威水舞兽队的话事人。,12月22日,谢莹,https://patchwiki.biligame.com/images/ys/b/ba/37apt69ofjpwpmdqyy36wwom8dt3zfo.png
character34,夏沃蕾,"['（6星）蕾神', '夏侯惇', '西琳', '帕姆']",明律决罚,女,少女,4星,火,荒性,长柄武器,枫丹,特巡队,特巡队队长,人类,剑铳座,罪恶·非必要处理型,"['加攻', '减抗', '治疗', '伤害提升', '冲刺消耗减少', '能量回复', '冷却减少', '配队增益', '反应受益']",时刻恪守着心中「正义」的特巡队队长，手中的铳枪只会指向负罪之人。,1月10日,潘丹妮,https://patchwiki.biligame.com/images/ys/3/30/rkhl28ab6k5guen5z49cbey5f7jur0v.png
character35,娜维娅,"['枫丹大小姐', '大姐头', '黄豆姐', '哪位呀', '彩依', '斧头帮帮主']",明花蔓舵,女,成女,5星,岩,荒性,双手剑,枫丹,刺玫会,刺玫会会长、领导、老板、总指挥,人类,野蔷薇座,「选你喜欢的！」,"['自身伤害提升', '特殊元素附魔', '冷却减少', '能量恢复', '派遣', '减抗', '自身暴击率提升', '自身暴击伤害提升']",刺玫会现任会长，一位可爱、尽责的好老板。,8月16日,小敢,https://patchwiki.biligame.com/images/ys/2/23/ivvas1ubnlt8zgcios29xbxolgc9au6.png
character36,芙宁娜,"['水神的扮演者', '正义之神的扮演者', '芙芙', '大明星', '法拉利', '枫丹无冕的神', '黑芙（荒形态）', '白芙（芒形态）']",不休独舞,女,少女,5星,水,荒性、芒性,单手剑,枫丹,枫丹廷,众水、众方、众民与众律法的女王,人类,司颂座,「普茹斯蒂司」,"['伤害提升', '治疗', '生命损耗', '自身伤害提升', '能量恢复', '水下探索便利', '特殊元素附魔', '受治疗加成提升', '自身倍率附加']",审判舞台上的绝对焦点，直至谢幕的掌声响起。,10月13日,钱琛,https://patchwiki.biligame.com/images/ys/6/68/gf8q0j490ygvze7w9npx35e49hw6iu0.png
character37,夏洛蒂,"['小记者', '狗仔队', '三月七', '射影姬(机)', '下落地', 'V2V（声优梗）', '佳能400蒂']",朗镜索真,女,少女,4星,冰,芒性,法器,枫丹,蒸汽鸟报社,蒸汽鸟报记者,人类,真视镜座,独家秘闻·美食专栏,"['治疗', '冷却减少', '自身伤害提升', '能量恢复', '协同攻击', '独家摄影']",充满活力的蒸汽鸟报记者，每时每刻都在为「真相」而奔走。,4月10日,阮从青,https://patchwiki.biligame.com/images/ys/b/b8/l6ikncd3l3upyuu83zvfl954jl4bnc6.png
character38,莱欧斯利,"['公爵', '典狱长', '灰太狼', '拳师', '桑博', '若陀龙王', '空条承太郎', '叽米', '牢大']",寂罪的密使,男,成男,5星,冰,荒性,法器,枫丹,梅洛彼得堡,梅洛彼得堡之主,人类,守狱犬座,秘烤肋排,"['自身抗打断', '自身伤害提升', '生命损耗', '自身治疗', '自身体力消耗降低', '炼金返还', '攻速提升', '自身暴击率提升', '自身暴击伤害提升', '命座普攻提升']",梅洛彼得堡的公爵，隐于漆黑海底的领主。,11月23日,刘北辰,https://patchwiki.biligame.com/images/ys/d/de/024en1mdkzgxcmndv1s2pw64z7su5nq.png
character39,那维莱特,['（水）龙王，那维莱獭，哭哭龙，局外龙，水龙头，全提瓦特天然水品鉴家，那位来客，很棒的龙'],谕告的潮音,男,成男,5星,水,芒性,法器,枫丹,枫丹廷,枫丹最高审判官,元素生物（水龙王）,原海巨灵座,「缥雨一滴」,"['生命损耗', '自身伤害提升', '自身治疗', '自身抗打断', '自身倍率加成', '水下探索便利', '自身暴击伤害提升', '源水之滴', '命座普攻提升', '反应受益']",枫丹的最高审判官，因其无懈可击的「秉公无私」而闻名。,12月18日,桑毓泽,https://patchwiki.biligame.com/images/ys/1/12/586c68eu5xrmi7xu3ah7z8nrmlcae62.png
character40,菲米尼,['企鹅'],潜怀遐梦,男,少年,4星,冰,芒性,双手剑,枫丹,布法蒂公馆,枫丹廷资深潜水员,人类,机巧座,「海鸟的驻足」,"['自身抗打断', '冷却减少', '自身伤害提升', '能量恢复', '水下探索便利', '自身暴击率提升', '自身暴击伤害提升', '命座普攻提升']",精于潜水的寡言少年，在如寒冰般拒人千里的外表下，藏有一颗无瑕的纯真之心。,9月24日,锦鲤,https://patchwiki.biligame.com/images/ys/5/50/ii0njgeknl2alomr4x8qfm58mldfitf.png
character41,林尼,['大魔术师'],惑光幻戏,男,少年,5星,火,芒性,弓,枫丹,布法蒂公馆,枫丹廷著名魔术师,人类,黑斑猫座,方块戏法,"['嘲讽', '生命损耗', '快速移动', '自身伤害提升', '自身治疗', '特产探索', '能量恢复', '自身暴击伤害提升', '减抗', '命座普攻提升']",伶牙俐齿，演技精湛的著名枫丹魔术师，以精妙的手法和言语牵动着观众的心。,2月2日,锦鲤,https://patchwiki.biligame.com/images/ys/c/c4/8a5ucerkclsfg6gkax387kbreo5kz7r.png
character42,旅行者/水,[],,男/女,,5星,水,,单手剑,,,,,,,"['生命损耗', '自身治疗', '自身伤害提升', '能量恢复', '护盾', '治疗', '源水之滴']",,,,
character43,琳妮特,"['枫丹猫猫', '机械杀手', '噔噔（中配）', '锵锵（日配）']",丽影绮行,女,少女,4星,风,荒性,单手剑,枫丹,布法蒂公馆,「多功能魔术助理机关」,兽人,白尾猫座,午后闲茶,"['嘲讽', '快速移动', '生命损耗', '自身治疗', '自身附魔', '聚怪', '自身伤害提升', '水下探索便利', '加攻', '元素转化']",寡言少语，罕有表情的魔术助手，性情像猫一样难以猜测。,2月2日,可可味,https://patchwiki.biligame.com/images/ys/7/70/iv7dviodlgfi8upe9spcic3227ru3yi.png
character44,绮良良,"['「狛荷屋」金牌级快递员', '猫又', '绮猫猫', '草猫猫', '虹夏（日配声优梗）']",檐宇猫游,女,少女,4星,草,,单手剑,稻妻,狛荷屋,「狛荷屋」金牌级快递员,妖怪（猫又）,箱筥座,朝气盒饭,"['护盾', '自身伤害提升', '伤害提升', '协同攻击', '生物亲和', '快速移动']",稻妻快递公司「狛荷屋」的送货员，一只热爱自己工作、向往人类社会的「猫又」。,1月22日,孙艳琦,https://patchwiki.biligame.com/images/ys/f/fa/lcr0e95moixu4jupxbiucpkxwi6f3im.png
character45,白术,"['白先生', '白大夫', '蛇架子&白绳子']",遵生合和,男,成男,5星,草,,法器,璃月,不卜庐,「不卜庐」主人,人类,悬壶座,清热降火汤,"['精通加成', '治疗', '护盾', '协同攻击', '伤害提升', '采集']",药庐「不卜庐」的主人，随身悬着名为「长生」的白蛇。精于药石，深于城府。,4月25日,秦且歌&王晓彤,https://patchwiki.biligame.com/images/ys/9/99/gza8ba1amp86df3wel5johh8rxanzoq.png
character46,卡维,"['妙论派之光', '学长', '有情有义的蕈兽', '断罪之皇子', '拆迁老哥']",天穹之镜,男,成男,4星,草,,双手剑,须弥,独立设计工作室,须弥著名建筑设计师,人类,天堂鸟座,悉心一作,"['摆设返还', '特化反应', '自身治疗', '自身抗打断', '自身抗性提高', '自身元素精通提高', '自身攻速提升', '特殊元素附魔']",须弥著名建筑设计师，对太多事物抱有过度关怀心。美学主义者，为现实所困扰。,7月9日,刘三木,https://patchwiki.biligame.com/images/ys/b/b5/5rp3xyjhz8c6vnc1czhu5bie7d65jh1.png
character47,米卡,"['前进测绘员', '游击小队成员', '凤头鹦鹉', '诸武精通', '卡米！']",晴霜的标绘,男,少年,4星,冰,,长柄武器,蒙德,西风骑士团,西风骑士团前进测绘员,人类,林鸽座,测绘员蛋堡,"['伤害提升', '攻速提升', '治疗', '能量恢复', '特产探索', '暴击伤害提升']",平凡家庭出身的年轻骑士，在小队中担任「前进测绘员」一职。为人低调，谨小慎微。,8月11日,邓宥希,https://patchwiki.biligame.com/images/ys/1/1e/5qdz8mws5ggcdfqrwd0pf06grbqpcgp.png
character48,迪希雅,"['炽鬃之狮', '迪娜泽黛的保镖', '「希望之壁」捐赠者', '自由的沙漠佣兵', '拳师', '炎拳', '大猫猫']",炽鬃之狮,女,成女,5星,火,,双手剑,须弥,镀金旅团,自由的沙漠佣兵,人类,蝎尾鬃狮座,炽金之锅,"['协同攻击', '抗打断', '自身治疗', '移速提升', '移速提升（天赋）', '能量恢复', '自身倍率附加', '独立减伤', '伤害分摊', '自身暴击率提升', '自身暴击伤害提升']",横行须弥沙漠地佣兵组织「镀金旅团」的成员，勇敢而又强大的战士，在「镀金旅团」内部声名赫赫。,4月7日,陈雨,https://patchwiki.biligame.com/images/ys/f/f1/sijapawx2rodvc76wyb3cjp18d5571v.png
character49,艾尔海森,"['大书记官', '海哥', '文弱的学术分子', '藏镜仕男（二代目）', '草刻晴', '海参']",诲韬诤言,男,成男,5星,草,,单手剑,须弥,须弥教令院,须弥教令院书记官,人类,天隼座,「理想情况」,"['自身伤害提升', '炼金返还', '冷却减少', '位移', '特殊元素附魔', '自身暴击率提升', '自身暴击伤害提升', '自身元素精通提高', '精通加成']",须弥教令院现任书记官，有过人的智慧与才能。生活得自由自在，一般人基本找不到他。,2月11日,杨超然,https://patchwiki.biligame.com/images/ys/a/ad/b0f0p1uvu21o9iuxz8flecrdw59158d.png
character50,瑶瑶,"['歌尘浪市真君弟子', '香菱的师妹', '「小大人」', '豆豆', '小团雀', '瑶瑶无期']",仙蕊玲珑,女,幼女,4星,草,,长柄武器,璃月,歌尘浪市真君洞天,歌尘浪市真君弟子,人类,木樨座,轻策家常菜,"['治疗', '伤害提升', '生物亲和', '体力回复', '能量恢复', '自身抗性提高', '自身元素精通提高']",歌尘浪市真君膝下最年幼的弟子，温柔体贴的「小大人」。,3月6日,刘颐诺,https://patchwiki.biligame.com/images/ys/6/6f/f938z4tr7yefj4gdkao294j4yvwvdhy.png
